timestamp,city_name,series_ticker,event_ticker,market_ticker,side,entry_price,model_probability,best_edge,recommended_position_dollars,execution_status,actual_high_temp,resolved_outcome,trade_won,realized_pnl
2026-04-26 18:24:31,New York City,KXHIGHNY,KXHIGHNY-26APR27,KXHIGHNY-26APR27-B66.5,NO,0.57,0.20742774470926453,0.22257225529073554,10.0,EXECUTE,66.92,YES,False,-5.699999999999999
2026-04-26 18:24:38,Miami,KXHIGHMIA,KXHIGHMIA-26APR27,KXHIGHMIA-26APR27-T88,NO,0.59,0.0013592242630066198,0.4086407757369934,18.0,EXECUTE,87.8,NO,True,7.380000000000001
2026-04-26 22:22:50,New York City,KXHIGHNY,KXHIGHNY-26APR27,KXHIGHNY-26APR27-B68.5,NO,0.61,0.04200244996479636,0.3479975500352036,20.0,EXECUTE,66.92,NO,True,7.800000000000001
2026-04-26 22:22:53,Miami,KXHIGHMIA,KXHIGHMIA-26APR27,KXHIGHMIA-26APR27-B87.5,NO,0.44,0.06585011491068495,0.49414988508931507,20.0,EXECUTE,87.8,YES,False,-8.8
2026-04-26 22:22:59,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR27,KXHIGHLAX-26APR27-B66.5,NO,0.43,0.40014938505949543,0.16985061494050452,5.0,EXECUTE,66.2,YES,False,-2.15
2026-04-27 13:28:26,New York City,KXHIGHNY,KXHIGHNY-26APR28,KXHIGHNY-26APR28-T66,NO,0.64,0.026791910298996295,0.3332080897010037,20.0,EXECUTE,64.04,NO,True,7.199999999999999
2026-04-27 20:04:57,Miami,KXHIGHMIA,KXHIGHMIA-26APR28,KXHIGHMIA-26APR28-B86.5,NO,0.41,0.06279168655441333,0.5272083134455867,20.0,EXECUTE,86.0,YES,False,-8.2
2026-04-27 20:04:58,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR28,KXHIGHLAX-26APR28-T71,YES,0.04,0.6736402501071789,0.6336402501071788,18.0,EXECUTE,69.8,NO,False,-0.72
2026-04-27 22:03:31,New York City,KXHIGHNY,KXHIGHNY-26APR28,KXHIGHNY-26APR28-B65.5,NO,0.48,0.12022575738014477,0.3997742426198553,20.0,EXECUTE,64.04,NO,True,10.4
2026-04-28 12:44:01,New York City,KXHIGHNY,KXHIGHNY-26APR29,KXHIGHNY-26APR29-B60.5,NO,0.65,0.013831042650969093,0.33616895734903085,5.0,EXECUTE,60.980000000000004,YES,False,-3.25
2026-04-28 15:39:20,Miami,KXHIGHMIA,KXHIGHMIA-26APR29,KXHIGHMIA-26APR29-B87.5,NO,0.43,0.035770445151991646,0.5342295548480083,20.0,EXECUTE,84.2,NO,True,11.400000000000002
2026-04-28 19:43:46,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR29,KXHIGHLAX-26APR29-T73,YES,0.04,0.6608648931798421,0.6208648931798421,22.0,EXECUTE,69.8,NO,False,-0.88
2026-04-29 02:55:37,New York City,KXHIGHNY,KXHIGHNY-26APR29,KXHIGHNY-26APR29-B62.5,NO,0.71,0.04905783364338606,0.24094216635661403,20.0,EXECUTE,60.980000000000004,NO,True,5.800000000000001
2026-04-29 02:55:58,New York City,KXHIGHNY,KXHIGHNY-26APR29,KXHIGHNY-26APR29-B58.5,YES,0.17,0.4006146050743689,0.2306146050743689,5.0,EXECUTE,60.980000000000004,NO,False,-0.8500000000000001
2026-04-29 12:33:12,New York City,KXHIGHNY,KXHIGHNY-26APR30,KXHIGHNY-26APR30-T61,YES,0.11,0.6477663952714252,0.5377663952714252,5.0,EXECUTE,60.08,YES,True,4.45
2026-04-29 13:20:09,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR30,KXHIGHLAX-26APR30-T73,YES,0.05,0.59949462513454,0.54949462513454,22.0,EXECUTE,69.8,NO,False,-1.1
2026-04-29 14:29:51,Miami,KXHIGHMIA,KXHIGHMIA-26APR30,KXHIGHMIA-26APR30-B89.5,NO,0.54,0.021409072541183013,0.438590927458817,20.0,EXECUTE,87.8,NO,True,9.2
,Miami,KXHIGHMIA,KXHIGHMIA-26MAY01,KXHIGHMIA-26MAY01-B84.5,YES,0.03,0.3727860569994402,0.3427860569994402,10.0,EXECUTE,87.8,NO,False,-0.3
,Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAY01,KXHIGHLAX-26MAY01-T75,YES,0.05,0.7099769728181751,0.659976972818175,20.0,EXECUTE,69.8,NO,False,-1.0
,New York City,KXHIGHNY,KXHIGHNY-26MAY01,KXHIGHNY-26MAY01-T62,YES,0.04,0.3330167776542077,0.2930167776542077,10.0,EXECUTE,64.04,NO,False,-0.4
,Miami,KXHIGHMIA,KXHIGHMIA-26MAY01,KXHIGHMIA-26MAY01-B90.5,NO,0.56,0.005428817138829522,0.43457118286117047,20.0,EXECUTE,87.8,NO,True,8.799999999999999
,New York City,KXHIGHNY,KXHIGHNY-26MAY01,KXHIGHNY-26MAY01-B66.5,NO,0.71,0.10928684998899299,0.18071315001100707,10.0,EXECUTE,64.04,NO,True,2.9000000000000004
,New York City,KXHIGHNY,KXHIGHNY-26MAY01,KXHIGHNY-26MAY01-B62.5,YES,0.19,0.37278605699943956,0.18278605699943956,5.0,EXECUTE,64.04,NO,False,-0.95
,Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAY01,KXHIGHLAX-26MAY01-B70.5,NO,0.53,0.013049937166032395,0.45695006283396755,20.0,EXECUTE,69.8,NO,True,9.399999999999999
,Miami,KXHIGHMIA,KXHIGHMIA-26MAY01,KXHIGHMIA-26MAY01-B88.5,NO,0.52,0.07201449412064181,0.4079855058793582,20.0,EXECUTE,87.8,NO,True,9.6
